Route Id,Latitude,Longitude,Speed,Timestamp,Id,Direction,Agency Name,Agency Id,Route Short Name,Trip Headsign
327,-34.67317,-58.39368,10,1568158614,31468,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37C,a Cdad. Universitaria x AeroPque.
379,-34.62124,-58.43756,10,1568158614,31475,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
4168,-34.79162,-58.36826,0.555555,1568158614,31537,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - San Francisco Solano
4168,-34.79718,-58.33465,3.055555,1568158554,31552,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - San Francisco Solano
4168,-34.80272,-58.35292,3.055555,1568158614,31555,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - San Francisco Solano
233,-34.64934,-58.61982,3.055555,1568158614,31561,1,BUS DEL OESTE S.A.,61,97A,a Est. Morón
326,-34.57535,-58.4184,3.055555,1568158614,31594,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Cdad. Universitaria x Av. F. Alcorta
4174,-34.87656,-58.3445854,3.055555,1568158614,31596,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Donato Alvarez y Garay - Bº San José x !
4173,-34.90426,-58.390686,14.4444437,1568158614,31597,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4167,-34.81633,-58.3761749,6.111111,1568158614,31599,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R3,Ramal 3 - Est. Burzaco x Vasco Nuñez de Balboa
4174,-34.91869,-58.3824539,6.944444,1568158044,31603,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4173,-34.88147,-58.3542747,5.833333,1568158584,31605,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
4174,-34.88586,-58.36297,11.666666,1568158616,31609,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4167,-34.79644,-58.359005,11.666666,1568158614,31611,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R3,Ramal 3 - San Francisco Solano
4176,-34.77766,-58.3536148,8.888888,1568158614,31613,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R6,Ramal 6 - Donato Alvarez y Garay - Barro San José
4167,-34.78717,-58.3299942,5.833333,1568158614,31615,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R3,Ramal 3 - San Francisco Solano
4173,-34.89829,-58.3904457,5.833333,1568158614,31616,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4174,-34.77351,-58.34654,3.055555,1568158614,31622,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4173,-34.86265,-58.388546,3.055555,1568158614,31623,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
4173,-34.88866,-58.3686752,4.722222,1568158616,31627,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4173,-34.87395,-58.38968,6.388888,1568158616,31628,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4174,-34.82674,-58.3886147,6.388888,1568158614,31662,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4173,-34.90686,-58.39084,6.388888,1568158614,31663,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4173,-34.89017,-58.390274,8.888888,1568158614,31667,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
4169,-34.78874,-58.33306,6.944444,1568158614,31669,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R5,Ramal 5 - Est. Burzacox Leroux
4174,-34.82539,-58.3888054,6.944444,1568158616,31672,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4172,-34.88486,-58.3610458,5,1568158616,31675,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R2,Ramal 2 - Est. Glew
4172,-34.87842,-58.34815,4.722222,1568158614,31681,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R2,Ramal 2 - Bº Gendarmería
4173,-34.96322,-58.37968,9.444444,1568158614,31682,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
4169,-34.79333,-58.34197,11.3888884,1568158614,31684,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R5,Ramal 5 - San Francisco Solano
4173,-34.92024,-58.3813858,11.3888884,1568153812,31685,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
4174,-34.77819,-58.34814,7.5,1568158614,31686,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Donato Alvarez y Garay - Bº San José x !
4174,-34.8889,-58.38518,7.5,1568158614,31687,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4174,-34.91032,-58.38991,12.7777767,1568158616,31690,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Donato Alvarez y Garay - Bº San José x !
4174,-34.98449,-58.376,4.722222,1568158616,31692,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Donato Alvarez y Garay - Bº San José x !
4171,-34.88956,-58.3793259,3.055555,1568158614,31694,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R1,Ramal 1 - Tapin y Larreta
4169,-34.80213,-58.3365746,3.055555,1568158614,31695,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R5,Ramal 5 - San Francisco Solano
4168,-34.86251,-58.38938,5.277777,1568158614,31696,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - San Francisco Solano
4168,-34.80039,-58.3468056,5.277777,1568158614,31697,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - Est. Adrogue
4173,-34.9201,-58.3809547,2.5,1568158226,31698,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4174,-34.79747,-58.387825,2.5,1568158614,31703,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4171,-34.89033,-58.36544,2.5,1568158614,31704,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R1,Ramal 1 - Est. Glew
4174,-34.88826,-58.3722,7.5,1568158584,31710,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4173,-35.02383,-58.4233742,7.222222,1568158616,31711,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
